,department,number,title,time,location,instructor,card_core
0,ACCT,201,Principles of Financial Accounting, ,ONLINE,Matthew Cushing,
1,ACCT,201,Principles of Financial Accounting, ,ONLINE,Matthew Cushing,
2,ACCT,202,Principles of Managerial Accounting, ,ONLINE,Peter Aghimien,
3,ACCT,202,Principles of Managerial Accounting, ,ONLINE,Peter Aghimien,
4,ACCT,301,Intermediate Accounting I, ,ONLINE,Derek Bell,
5,ACCT,301,Intermediate Accounting I, ,ONLINE,Derek Bell,
6,ACCT,302,Intermediate Accounting II, ,ONLINE,Peter Aghimien,
7,ACCT,302,Intermediate Accounting II, ,ONLINE,Peter Aghimien,
8,ACCT,310,Introduction to Accounting Information Systems, ,ONLINE,Marcus Burke,
9,ACCT,310,Introduction to Accounting Information Systems, ,ONLINE,Marcus Burke,
10,ACCT,315,Taxation for Business Entities, ,ONLINE,Lisa Blum,
11,ACCT,315,Taxation for Business Entities, ,ONLINE,Lisa Blum,
12,ACCT,396,Zero-Credit Internship-Accounting, ,Belknap,Lisa Blum,
13,ACCT,397,Co-op in Accounting I, ,Belknap,Lisa Blum,
14,ACCT,398,Co-op in Accounting II, ,Belknap,Lisa Blum,
15,ACCT,399,Co-op in Accounting III, ,Belknap,Lisa Blum,
16,ACCT,411,Capstone Seminar in Accounting, ,ONLINE,Marcus Burke,CUE
17,ACCT,411,Capstone Seminar in Accounting, ,ONLINE,Marcus Burke,CUE
18,ACCT,430,Auditing Theory and Practice, ,ONLINE,Dereck Barr-Pulliam,
19,ACCT,430,Auditing Theory and Practice, ,ONLINE,Dereck Barr-Pulliam,
20,ASL,101,American Sign Language 1,TBA,Belknap / TBA,To be Announced,
21,ASL,102,American Sign Language 2,MoTuWeTh 10:00AM - 12:00PM,Belknap / Humanities 211,Sheila Owolabi,
22,ASL,201,American Sign Language 3,TBA,Belknap / TBA,To be Announced,
23,ASL,202,American Sign Language 4,MoTuWeTh 1:00PM - 3:00PM,Belknap / Humanities 211,Sheila Owolabi,
24,ASNB,491,Undergraduate Neuroscience Research, ,HSC,Charles Hubscher,
25,ASNB,492,Undergraduate Neuroscience Research, ,HSC,Charles Hubscher,CUE
26,ASNB,495,Honors Neuroscience Research, ,HSC,Charles Hubscher,
